×éºÏID,¸÷Ä¿±ê²ÄÁÏ¸ùÊı,¸÷Ä¿±ê²ÄÁÏË³Ğò,ÇĞ¸î×é×°³¤¶È
1,"3110: 5, 5310: 2, 4340: 5","[3110, 5310, 4340, 3110, 4340, 3110, 4340, 4340, 4340, 3110, 5310, 3110]","[[np.int64(3110), np.int64(5310), np.int64(3580)], [np.int64(760), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(680)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(3110), np.int64(5310), np.int64(3110), np.int64(130)]]"
2,"5310: 2, 4340: 5, 3110: 5","[5310, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 5310]","[[np.int64(5310), np.int64(4340), np.int64(2350)], [np.int64(1990), np.int64(3110), np.int64(3110), np.int64(3790)], [np.int64(550), np.int64(3110), np.int64(3110), np.int64(4340), np.int64(890)], [np.int64(3450), np.int64(3110), np.int64(5310), np.int64(130)]]"
3,"3110: 5, 5310: 2, 4340: 5","[3110, 5310, 4340, 3110, 4340, 3110, 4340, 4340, 4340, 3110, 5310, 3110]","[[np.int64(3110), np.int64(5310), np.int64(3580)], [np.int64(760), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(680)], [np.int64(3660), np.int64(4340), np.int64(4000)], [np.int64(340), np.int64(3110), np.int64(5310), np.int64(3110), np.int64(130)]]"
4,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
5,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
6,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
7,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
8,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
9,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
10,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
11,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
12,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
13,"3110: 11, 5310: 2, 4340: 9","[3110, 3110, 5310, 5310, 3110, 3110, 3110, 4340, 3110, 4340, 3110, 4340, 3110, 4340, 4340, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(3110), np.int64(5310), np.int64(470)], [np.int64(4840), np.int64(3110), np.int64(3110), np.int64(940)], [np.int64(2170), np.int64(4340), np.int64(3110), np.int64(2380)], [np.int64(1960), np.int64(3110), np.int64(4340), np.int64(2590)], [np.int64(520), np.int64(4340), np.int64(4340), np.int64(2800)], [np.int64(1540), np.int64(4340), np.int64(3110), np.int64(3010)], [np.int64(1330), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(110)]]"
14,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
15,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
16,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
17,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
18,"5310: 2, 4340: 5, 3110: 5","[5310, 4340, 4340, 3110, 3110, 4340, 3110, 3110, 4340, 4340, 3110, 5310]","[[np.int64(5310), np.int64(4340), np.int64(2350)], [np.int64(1990), np.int64(3110), np.int64(3110), np.int64(3790)], [np.int64(550), np.int64(3110), np.int64(3110), np.int64(4340), np.int64(890)], [np.int64(3450), np.int64(3110), np.int64(5310), np.int64(130)]]"
19,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
20,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
21,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
22,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
23,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
